"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bahamas, The","BHS","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","1550","1650","1760","1900","2040","2230","2450","2760","2920","3110","3190","3740","3840","4640","3120","3360","3720","5200","6050","5790","6360","6640","7700","8510","9400","10800","11710","12440","11870","11330","11550","11310","11600","14260","15930","15180","16810","24150","26360","26560","27190","27770","29270","30570","30760","31090","30960","29010","28370","28030","29020","28440","28000","28400","29210","30900","31990","33460","27780",
"Bosnia and Herzegovina","BIH","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","760","1010","1330","1400","1490","1600","1770","2040","2590","3180","3510","3920","4730","4970","4960","5010","4990","5270","5300","5210","5130","5120","5750","6180","6090",
"Belarus","BLR","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6230","","5190","2180","1510","1520","1550","1410","1380","1300","1380","1630","2170","2810","3520","4310","5500","5700","6150","6260","6610","7010","7590","6710","5620","5300","5700","6370","6330",
"Belize","BLZ","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","330","340","350","370","390","420","420","420","420","450","520","600","730","840","800","850","930","1120","1420","1430","1290","1150","1160","1200","1350","1610","1870","2080","2260","2420","2680","2790","2780","2860","2880","2890","2780","2880","3150","3130","3200","3420","3560","3620","3740","3670","3880","4050","3880","4050","4100","4180","4260","4400","4340","4420","4550","4700","3970",
"Bermuda","BMU","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","103480","101610","100100","101760","99920","101120","103620","112940","117000","117740","",
"Bolivia","BOL","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","550","580","650","760","820","900","860","840","850","840","740","720","710","720","720","740","770","790","810","850","900","950","990","980","980","950","920","910","950","1020","1110","1220","1480","1620","1780","2000","2250","2590","2830","2960","3040","3090","3370","3520","3200",
"Brazil","BRA","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","280","310","370","410","450","510","590","760","980","1180","1360","1490","1680","1970","2200","2090","2010","1730","1630","1580","1800","2050","2260","2760","2730","3280","3170","3090","3030","3760","4460","5020","4840","4120","3930","3350","3090","2980","3340","4000","4850","6190","7620","8320","9650","11080","12310","12790","12120","10190","8920","8700","9170","9270","7850",
"Barbados","BRB","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","5910","6690","7430","7860","7600","7570","7460","7690","8010","8340","8700","9050","9420","9820","10780","10630","10650","11300","12290","13240","14220","15530","16180","15730","15540","15050","15720","15660","15630","15740","15920","16070","16700","17380","14460",
"Brunei Darussalam","BRN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12090","12460","13580","15160","15030","15090","15680","16210","16220","14420","14040","14680","16070","17140","17800","19990","23090","27580","30930","34150","32460","33300","35520","42370","45320","43090","38850","33170","29800","29390","32230","",
"Bhutan","BTN","GNI per capita, Atlas method (current US$)","NY.GNP.PCAP.CD","","","","","","","","","","","","","","","","","","","","","","","270","250","280","280","330","470","520","550","560","480","450","420","450","460","510","550","530","560","700","750","810","910","1030","1200","1330","1640","1770","1860","2040","2240","2390","2410","2460","2520","2650","2800","2970","3140","2860",
